Seconds,Volts
0, 0
1.738295E-08, 0.02952578
3.47659E-08, 0.05881384
5.214885E-08, 0.08762836
6.95318E-08, 0.1157374
8.691475E-08, 0.1429145
1.042977E-07, 0.168941
1.216807E-07, 0.1936073
1.390636E-07, 0.2167147
1.564465E-07, 0.2380773
1.738295E-07, 0.2575231
1.912125E-07, 0.2748953
2.085954E-07, 0.2900544
2.259784E-07, 0.3028781
2.433613E-07, 0.3132631
2.607443E-07, 0.321126
2.781272E-07, 0.3264033
2.955101E-07, 0.3290527
3.128931E-07, 0.3290527
3.302761E-07, 0.3264033
3.47659E-07, 0.321126
3.65042E-07, 0.3132631
3.824249E-07, 0.302878
3.998078E-07, 0.2900544
4.171908E-07, 0.2748953
4.345738E-07, 0.257523
4.519567E-07, 0.2380773
4.693397E-07, 0.2167147
4.867226E-07, 0.1936072
5.041056E-07, 0.1689409
5.214885E-07, 0.1429145
5.388715E-07, 0.1157373
5.562544E-07, 0.08762833
5.736374E-07, 0.05881382
5.910203E-07, 0.02952577
6.084032E-07, -9.547794E-09
6.257862E-07, -0.02952578
6.431691E-07, -0.05881384
6.605521E-07, -0.08762845
6.779351E-07, -0.1157374
6.95318E-07, -0.1429146
7.12701E-07, -0.168941
7.300839E-07, -0.1936073
7.474669E-07, -0.2167147
7.648498E-07, -0.2380773
7.822327E-07, -0.2575231
7.996157E-07, -0.2748954
8.169986E-07, -0.2900544
8.343816E-07, -0.3028781
8.517646E-07, -0.3132631
8.691475E-07, -0.321126
8.865305E-07, -0.3264033
9.039134E-07, -0.3290527
9.212964E-07, -0.3290527
9.386793E-07, -0.3264033
9.560623E-07, -0.321126
9.734453E-07, -0.3132631
9.908282E-07, -0.302878
1.008211E-06, -0.2900543
1.025594E-06, -0.2748953
1.042977E-06, -0.257523
1.06036E-06, -0.2380772
1.077743E-06, -0.2167146
1.095126E-06, -0.1936072
1.112509E-06, -0.1689409
1.129892E-06, -0.1429144
1.147275E-06, -0.1157373
1.164658E-06, -0.08762833
1.182041E-06, -0.05881381
1.199424E-06, -0.02952576
