Seconds,Volts
0, -0.8650069
1.004435E-08, 0.4350992
2.00887E-08, 0.8756626
3.013306E-08, 0.9708574
4.017741E-08, 0.9289845
5.022176E-08, 0.783129
6.026611E-08, 0.7740312
7.031046E-08, 0.811873
8.035482E-08, 0.8590603
9.039917E-08, 0.7908704
1.004435E-07, 0.7052839
1.104879E-07, 0.7169799
1.205322E-07, 0.7262299
1.305766E-07, 0.7111768
1.406209E-07, 0.8205959
1.506653E-07, 0.7844383
1.607096E-07, 0.6776562
1.70754E-07, 0.7075306
1.807983E-07, 0.6099573
1.908427E-07, 0.7183214
2.00887E-07, 0.7348148
2.109314E-07, 0.6712403
2.209757E-07, 0.5845301
2.310201E-07, 0.5861494
2.410644E-07, 0.5193167
2.511088E-07, 0.6113892
2.611532E-07, 0.5282655
2.711975E-07, 0.5649045
2.812419E-07, 0.5158122
2.912862E-07, 0.6091902
3.013306E-07, 0.5761654
3.113749E-07, 0.5678483
3.214193E-07, 0.5215898
3.314636E-07, 0.3859852
3.41508E-07, 0.4889473
3.515523E-07, 0.3618194
3.615967E-07, 0.3583995
3.71641E-07, 0.3791084
3.816854E-07, 0.4496665
3.917297E-07, 0.3420624
4.017741E-07, 0.3881787
4.118184E-07, 0.4043031
4.218628E-07, 0.3762538
4.319071E-07, 0.3682965
4.419515E-07, 0.2366417
4.519958E-07, 0.3345992
4.620402E-07, 0.2310099
4.720845E-07, 0.2519998
4.821289E-07, 0.2858663
4.921732E-07, 0.2792852
5.022176E-07, 0.1890247
5.12262E-07, 0.2835245
5.223063E-07, 0.2374051
5.323507E-07, 0.250224
5.42395E-07, 0.108472
5.524394E-07, 0.1672676
5.624837E-07, 0.1057154
5.725281E-07, 0.1816348
5.825724E-07, 0.1459341
5.926167E-07, 0.03813361
6.026611E-07, 0.1794204
6.127055E-07, 0.01290826
6.227498E-07, 0.1145665
6.327942E-07, 0.05486234
6.428385E-07, 0.09191215
6.528829E-07, 0.1150189
6.629272E-07, -0.05188945
6.729716E-07, -0.0230526
6.830159E-07, -0.07385083
6.930603E-07, 0.04912655
7.031047E-07, -0.1277547
7.13149E-07, -0.03348553
7.231934E-07, -0.1296327
7.332377E-07, -0.09776059
7.43282E-07, -0.1574024
7.533264E-07, -0.1367763
7.633707E-07, -0.1416274
7.734151E-07, -0.1623164
7.834595E-07, -0.1832051
7.935038E-07, -0.09820119
8.035482E-07, -0.2109749
8.135925E-07, -0.1385521
8.236369E-07, -0.1789152
8.336812E-07, -0.1865381
8.437256E-07, -0.2702576
8.537699E-07, -0.2966411
8.638143E-07, -0.3027775
8.738587E-07, -0.2644097
8.83903E-07, -0.3301878
8.939473E-07, -0.2232406
9.039917E-07, -0.3663698
9.14036E-07, -0.2648195
9.240804E-07, -0.3179892
9.341247E-07, -0.3776701
9.441691E-07, -0.4005886
9.542134E-07, -0.3594183
9.642578E-07, -0.4888141
9.743021E-07, -0.4045759
9.843465E-07, -0.4609023
9.943908E-07, -0.3900771
1.004435E-06, -0.5309629
1.01448E-06, -0.4202371
1.024524E-06, -0.4945023
1.034568E-06, -0.5859551
1.044613E-06, -0.4457466
1.054657E-06, -0.6066644
1.064701E-06, -0.5638971
1.074746E-06, -0.6024125
1.08479E-06, -0.5699564
1.094834E-06, -0.6608965
1.104879E-06, -0.5346234
1.114923E-06, -0.5681477
1.124967E-06, -0.6112785
1.135012E-06, -0.7114661
1.145056E-06, -0.6185317
1.1551E-06, -0.7264393
1.165145E-06, -0.7581611
1.175189E-06, -0.6328763
1.185233E-06, -0.6725081
1.195278E-06, -0.6869529
1.205322E-06, -0.7433896
1.215367E-06, -0.7664463
1.225411E-06, -0.7516975
1.235455E-06, -0.6952358
1.2455E-06, -0.7091206
1.255544E-06, -0.8830542
1.265588E-06, -0.8969392
1.275633E-06, -0.8487217
1.285677E-06, -0.8700292
1.295721E-06, -0.9078794
1.305766E-06, -0.9137112
1.31581E-06, -0.9143284
1.325854E-06, -0.8340987
1.335899E-06, -0.8539752
1.345943E-06, 0.458845
1.355987E-06, 0.9234862
1.366032E-06, 0.9319279
1.376076E-06, 0.9427396
1.386121E-06, 0.7798896
1.396165E-06, 0.7711605
1.406209E-06, 0.7505955
1.416254E-06, 0.7505187
1.426298E-06, 0.7784685
1.436342E-06, 0.7196129
1.446387E-06, 0.7908895
1.456431E-06, 0.7401995
1.466475E-06, 0.6779583
1.47652E-06, 0.6701232
1.486564E-06, 0.8092619
1.496608E-06, 0.6995958
1.506653E-06, 0.6229684
1.516697E-06, 0.7427838
1.526741E-06, 0.6800136
1.536786E-06, 0.6659258
1.54683E-06, 0.565941
1.556875E-06, 0.5529947
1.566919E-06, 0.5284376
1.576963E-06, 0.6360386
1.587008E-06, 0.5036098
1.597052E-06, 0.6317048
1.607096E-06, 0.4726843
1.617141E-06, 0.6104032
1.627185E-06, 0.6123229
1.637229E-06, 0.582157
1.647274E-06, 0.5630694
1.657318E-06, 0.516717
1.667362E-06, 0.4033972
1.677407E-06, 0.443749
1.687451E-06, 0.3785412
1.697495E-06, 0.4755729
1.70754E-06, 0.4490825
1.717584E-06, 0.4254029
1.727629E-06, 0.4760253
1.737673E-06, 0.3362857
1.747717E-06, 0.4294234
1.757762E-06, 0.3129064
1.767806E-06, 0.2614125
1.77785E-06, 0.3518884
1.787895E-06, 0.3568608
1.797939E-06, 0.3035519
1.807983E-06, 0.3649463
1.818028E-06, 0.2865542
1.828072E-06, 0.2792852
1.838116E-06, 0.1640114
1.848161E-06, 0.2617599
1.858205E-06, 0.2766901
1.868249E-06, 0.1777243
1.878294E-06, 0.1581157
1.888338E-06, 0.0908025
1.898382E-06, 0.2374318
1.908427E-06, 0.06104561
1.918471E-06, 0.04723133
1.928516E-06, 0.04239096
1.93856E-06, 0.0372279
1.948604E-06, 0.1060512
1.958649E-06, 0.05497278
1.968693E-06, 0.08489725
1.978737E-06, 0.02043601
